obj_id,fs_obj_id,data_source_obj_id,attr_type,attr_id,name,meta_addr,meta_seq,type,has_layout,has_path,dir_type,meta_type,dir_flags,meta_flags,size,ctime,crtime,atime,mtime,mode,uid,gid,md5,known,parent_path,mime_type
6,5,1,1,0,"",2,0,0,,,3,2,1,5,4096,0,0,0,0,0,0,0,,0,/,
7,5,1,1,0,"IAMAN $_@   (Volume Label Entry)",3,0,0,,,5,1,1,5,0,0,0,0,1427227356,511,0,0,,0,/,
8,5,1,1,0,$MBR,33423363,0,0,,,10,10,1,5,512,0,0,0,0,0,0,0,,0,/,
9,5,1,1,0,$FAT1,33423364,0,0,,,10,10,1,5,1044992,0,0,0,0,0,0,0,,0,/,
10,5,1,1,0,$FAT2,33423365,0,0,,,10,10,1,5,1044992,0,0,0,0,0,0,0,,0,/,
11,5,1,1,0,$OrphanFiles,33423366,0,0,,,3,2,1,5,0,0,0,0,0,0,0,0,,0,/,
12,5,1,1,0,design,133,-1,0,,,0,2,2,6,4096,0,1427201966,1427166000,1427201834,511,0,0,,0,/$OrphanFiles/,
13,5,1,1,0,.,133,0,0,,,3,2,2,6,4096,0,1427201966,1427166000,1427201834,511,0,0,,0,/$OrphanFiles/design/,
14,5,1,1,0,..,33423366,0,0,,,3,2,2,5,0,0,0,0,0,0,0,0,,0,/$OrphanFiles/design/,
15,5,1,1,0,winter_storm.amr,263,0,0,,,5,1,2,6,14547968,0,1427201967,1427166000,1422038830,511,0,0,,0,/$OrphanFiles/design/,
16,5,1,1,0,winter_whether_advisory.zip,267,0,0,,,5,1,2,6,16381123,0,1427201977,1427166000,1418739026,511,0,0,,0,/$OrphanFiles/design/,
17,5,1,1,0,PRICIN~1,136,-1,0,,,0,2,2,6,4096,0,1427201979,1427166000,1427201852,511,0,0,,0,/$OrphanFiles/,
18,5,1,1,0,.,136,0,0,,,3,2,2,6,4096,0,1427201979,1427166000,1427201852,511,0,0,,0,/$OrphanFiles/PRICIN~1/,
19,5,1,1,0,..,33423366,0,0,,,3,2,2,5,0,0,0,0,0,0,0,0,,0,/$OrphanFiles/PRICIN~1/,
20,5,1,1,0,my_favorite_cars.db,967047,0,0,,,5,1,2,6,1260544,0,1427201979,1427166000,1421428224,511,0,0,,0,/$OrphanFiles/PRICIN~1/,
21,5,1,1,0,my_favorite_movies.7z,967050,0,0,,,5,1,2,6,100078,0,1427201979,1427166000,1420744104,511,0,0,,0,/$OrphanFiles/PRICIN~1/,
22,5,1,1,0,new_years_day.jpg,967053,0,0,,,5,1,2,6,10237535,0,1427201979,1427166000,1417452626,511,0,0,,0,/$OrphanFiles/PRICIN~1/,
23,5,1,1,0,super_bowl.avi,967056,0,0,,,5,1,2,6,10289152,0,1427201980,1427166000,1417534138,511,0,0,,0,/$OrphanFiles/PRICIN~1/,
24,5,1,1,0,progress,137,-1,0,,,0,2,2,6,4096,0,1427201983,1427166000,1427201694,511,0,0,,0,/$OrphanFiles/,
25,5,1,1,0,.,137,0,0,,,3,2,2,6,4096,0,1427201983,1427166000,1427201694,511,0,0,,0,/$OrphanFiles/progress/,
26,5,1,1,0,..,33423366,0,0,,,3,2,2,5,0,0,0,0,0,0,0,0,,0,/$OrphanFiles/progress/,
27,5,1,1,0,my_friends.svg,1651335,0,0,,,5,1,2,6,58368,0,1427201983,1427166000,1421759624,511,0,0,,0,/$OrphanFiles/progress/,
28,5,1,1,0,my_smartphone.png,1651338,0,0,,,5,1,2,6,4440235,0,1427201983,1427166000,1420466242,511,0,0,,0,/$OrphanFiles/progress/,
29,5,1,1,0,new_year_calendar.one,1651341,0,0,,,5,1,2,6,27414,0,1427201984,1427166000,1421079822,511,0,0,,0,/$OrphanFiles/progress/,
30,5,1,1,0,proposal,138,-1,0,,,0,2,2,6,4096,0,1427201984,1427166000,1427201718,511,0,0,,0,/$OrphanFiles/,
31,5,1,1,0,.,138,0,0,,,3,2,2,6,4096,0,1427201984,1427166000,1427201718,511,0,0,,0,/$OrphanFiles/proposal/,
32,5,1,1,0,..,33423366,0,0,,,3,2,2,5,0,0,0,0,0,0,0,0,,0,/$OrphanFiles/proposal/,
